# Karaoke Propio — hand-checked song categories.
#
# The primary source of truth for categorisation, consulted before
# MusicBrainz: every song here was categorised by a person looking at it,
# and an online lookup is only asked about songs this file does not name.
#
# Columns are tab-separated. Artist and title are written the way the
# library stores them; matching folds case, accents, punctuation and a
# leading or trailing article, so "The Beatles" and "Beatles, The" are the
# same song. Several genres are separated by "|". Empty means "not known",
# never "none".
#
# Regenerate with: node scripts/export-category-reference.mjs <database.sqlite3>
# Corrections are welcome as ordinary pull requests against this file.
artist	title	genre	decade	voice	language
ABBA	Chiquitita	Disco|Pop|Rock	70's	Group	English
ABBA	Dancing Queen	Disco|Pop|Rock	70's	Group	English
ABBA	Fernando	Ballad|Disco|Pop|Rock	70's	Group	English
ABBA	I have a dream	Ballad|Disco|Pop|Rock	70's	Group	English
ABBA	Mamma Mia	Disco|Pop|Rock	70's	Group	English
ABBA	Slipping through my fingers	Ballad|Disco|Pop|Rock	80's	Group	English
ABBA	Super Trouper	Disco|Pop|Rock	80's	Group	English
ABBA	winner takes it all, The	Ballad|Disco|Pop|Rock	80's	Group	English
AC DC	Highway to Hell	Rock	70's	Group	English
Adele	Someone like you	Pop|Soul	2010's	Female	English
Aerosmith	Dream On	Rock	70's	Group	English
Aerosmith	I don't want to miss a thing	Rock	90's	Group	English
Aerosmith	Sweet Emotion	Rock	70's	Group	English
Aerosmith	Van Halen Mama Kin	Rock	70's	Group	English
Alejandra Guzman	Eternamente bella	Pop|Rock	90's	Female	Spanish
Alejandra Guzman	Llama por favor	Ballad|Pop|Rock	90's	Female	Spanish
Alejandro Fernández	Abrázame	Ballad|Pop|Ranchera	2000's	Male	Spanish
Alejandro Fernández	Hoy Tengo Ganas de Ti	Ballad|Ranchera	2000's	Male	Spanish
Alejandro Fernández	Me Dediqué a Perderte	Ballad|Ranchera	2000's	Male	Spanish
Alejandro Fernández	Mi Forma de Sentir	Ballad|Pop|Ranchera	2000's	Male	Spanish
Alejandro Fernández	No se Olvidar	Ballad|Ranchera	2000's	Male	Spanish
Alejandro Fernández	Si tu Supieras	Ballad|Ranchera	2000's	Male	Spanish
Alex Ubago	Aunque No te Pueda Ver	Ballad|Pop	2000's	Male	Spanish
Alex Ubago	Estar contigo	Pop	2000's	Male	Spanish
Alex Ubago	Gritos de Esperanza, A	Ballad|Pop	2000's	Male	Spanish
Alex Ubago	Me Muero por Conocerte	Pop	2000's	Male	Spanish
Alex Ubago	Sabes	Ballad|Pop	2000's	Male	Spanish
Alex Ubago	Sin Miedo a Nada	Ballad|Pop	80's	Male	Spanish
Alexandra Burke	Hallelujah	Pop|R&B|Soul	2000's	Female	English
Allman Brothers Band, The	Ramblin' Man	Blues|Pop|Rock	70's	Group	English
Amanda Miguel	Amame una vez mas	Ballad|Pop	90's	Female	Spanish
America	Sister Golden Hair	Pop|Rock	70's	Group	English
Amy Winehouse	Valerie	Jazz|Soul	2000's	Female	English
Amén	Decir Adiós	Rock	2000's	Group|Male	Spanish
Amén	Sé que tú no estás solo	Rock	2000's	Group|Male	Spanish
Ana Cirre	Casi perfecto	Ballad|Pop	90's	Female	Spanish
Ana Gabriel	Luna	Ballad|Pop|Ranchera	90's	Female	Spanish
Ana Gabriel	Quien como tu	Ballad|Pop	80's	Female	Spanish
Ana Gabriel	Simplemente amigos	Ballad|Pop	80's	Female	Spanish
Ana Gabriel & Vicky Carr	Cosas del amor	Pop	90's	Duet|Female	Spanish
Ana Torroja & Miguel Bose	Corazones	Pop	2010's|90's	Duet	Spanish
Andrea Bocelli	Bésame mucho	Classical|Pop	2000's|90's	Male	Spanish
Andrea Bocelli & Marta Sánchez	Vivo por ella	Pop	90's	Duet|Mixed	Spanish
Andrés Calamaro	Flaca	Rock	90's	Male	Spanish
Anette Moreno	Guardian de mi corazon	Christian|Pop|Rock	2000's	Female	Spanish
Angela Carrasco	Ahora o nunca	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Alguien como tu	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Amigo mio cuenta conmigo	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Atrapada	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Callados	Ballad|Pop	70's	Female	Spanish
Angela Carrasco	Caribe	Pop	80's	Female	Spanish
Angela Carrasco	Cariño Mío	Ballad|Pop	2000's|70's	Female	Spanish
Angela Carrasco	El tiempo nos pesa	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Lo quiero a morir	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Mi unico amigo	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	No me puedo quejar	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Quererte a ti	Ballad|Pop	70's	Female	Spanish
Angela Carrasco	Quiereme	Ballad|Pop	70's	Female	Spanish
Angela Carrasco	Tu eres mi hombre y yo tu mujer	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Tu tambien me haces falta	Ballad|Pop	80's	Female	Spanish
Angela Carrasco	Un mundo ideal	Ballad|Pop	90's	Female	Spanish
Animals, The	House of the Rising Sun, The	Rock	60's	Group	English
Anitta	Girl From Rio	Pop|Soul	2020's	Female	English
Anitta	Show Das Poderosas	Pop|Reggaeton|Soul	2010's	Female	Portuguese
Anitta & Greeicy	Jacuzzi	Pop|Reggaeton|Soul	2010's	Duet|Female	Spanish
Anitta & Simone, Simaria	⭐ Loka (E Toca Uma Moda Boa)	Pop|Reggaeton|Soul		Duet	Portuguese
Anne Murray	I Just Fall In Love Again	Country|Pop	70's	Female	English
Anne Murray	You Needed Me	Country|Pop	70's	Female	English
Aretha Franklin	Respect	Soul	60's	Female	English
Ariana Grande	Girl in the Bubble, The (from 'Wicked')	Pop|Soul	2020's	Female	English
Ariana Grande & Cynthia Erivo	Defying Gravity (Shortened) from 'Wicked'	Pop|Soul	2020's	Duet	English
Armando Manzanero	Adoro	Bolero|Pop	60's	Male	Spanish
Armando Manzanero	Contigo aprendí	Bolero|Pop	60's|80's	Male	Spanish
Armando Manzanero	Esta Tarde Vi Llover	Bolero	60's	Male	Spanish
Armando Manzanero & Lisset	Nada Personal	Ballad|Bolero|Pop	60's|90's	Duet	Spanish
Arturo Zambo Cavero	Contigo Peru	Peruvian Waltz		Male	Spanish
Arturo Zambo Cavero	Cuando llora mi guitarra	Peruvian Waltz		Male	Spanish
Arturo Zambo Cavero	Dijiste adiós	Peruvian Waltz		Male	Spanish
Arturo Zambo Cavero	Rebeca	Peruvian Waltz		Male	Spanish
Atomic Kitten	Tide Is High, The (Get the Feeling)	Pop	2000's	Group	English
Axel	Amo	Pop	2000's	Male	Spanish
Axel	Como Decirte que te Quiero	Pop	2000's	Male	Spanish
Axel	Me Estoy Enamorando	Pop	2000's	Male	Spanish
Axel	Me puedes de punta a punta	Pop	2000's	Male	Spanish
Axel	Mi Querida Princesa	Pop	2000's	Male	Spanish
Axel	Que Estás Buscando	Pop	2000's	Male	Spanish
Axel	Te Equivocas	Pop	2000's	Male	Spanish
Axel	Te Voy a Amar	Pop	2000's	Male	Spanish
Axel	Tu Amor por Siempre	Pop	2000's	Male	Spanish
Axel	Verte reír	Pop	2000's	Male	Spanish
Bachman-Turner Overdrive	You Ain't Seen Nothing Yet	Rock	70's	Group	English
Bacilos	Caraluna	Pop	2000's	Group|Male	Spanish
Bad Bunny & Drake	Mía	Reggaeton	2010's	Duet|Male	Spanish
Bad Company	Feel Like Makin' Love	Rock	70's	Group	English
Bad Company	Rock Steady	Rock	70's	Group	English
Bangles, The	Eternal Flame	Ballad|Pop|Rock	80's	Female|Group	English
Beatles, The	All My Loving	Pop|Rock	60's	Group	English
Beatles, The	All You Need Is Love	Pop|Rock	60's	Group	English
Beatles, The	And I love her	Pop|Rock	60's	Group	English
Beatles, The	Blackbird	Pop|Rock	60's	Group	English
Beatles, The	Can't Buy Me Love	Pop|Rock	60's	Group	English
Beatles, The	Come Together	Pop|Rock	60's	Group	English
Beatles, The	Day in the Life, A	Pop|Rock	60's	Group	English
Beatles, The	Do You Want To Know A Secret	Pop|Rock	60's	Group	English
Beatles, The	Don't Let Me Down	Pop|Rock	60's	Group	English
Beatles, The	Eight Days a Week	Pop|Rock	60's	Group	English
Beatles, The	From Me to You	Pop|Rock	60's	Group	English
Beatles, The	Get Back	Pop|Rock	60's	Group	English
Beatles, The	Girl	Pop|Rock	60's	Group	English
Beatles, The	Golden Slumbers Carry That Weight	Pop|Rock	60's	Group	English
Beatles, The	Hard Day's Night, A	Pop|Rock	60's	Group	English
Beatles, The	Hello Goodbye	Pop|Rock	60's	Group	English
Beatles, The	Help!	Pop|Rock	60's	Group	English
Beatles, The	Here Comes The Sun	Pop|Rock	60's	Group	English
Beatles, The	Here, There and Everywhere	Pop|Rock	60's	Group	English
Beatles, The	Hey Jude	Pop|Rock	60's	Group	English
Beatles, The	I Feel Fine	Pop|Rock	60's	Group	English
Beatles, The	I Saw Her Standing There	Pop|Rock	60's	Group	English
Beatles, The	I Should Have Known Better	Pop|Rock	60's	Group	English
Beatles, The	I Want to Hold Your Hand	Pop|Rock	60's	Group	English
Beatles, The	I Will	Pop|Rock	60's	Group	English
Beatles, The	I'll Follow the Sun	Pop|Rock	60's	Group	English
Beatles, The	If I Fell	Pop|Rock	60's	Group	English
Beatles, The	In My Life	Pop|Rock	60's	Group	English
Beatles, The	Let It Be	Pop|Rock	70's	Group	English
Beatles, The	Love Me Do	Pop|Rock	60's	Group	English
Beatles, The	Lucy in the Sky with Diamonds	Pop|Rock	60's	Group	English
Beatles, The	Michelle	Pop|Rock	60's	Group	English
Beatles, The	Ob-La-Di, Ob-La-Da	Pop|Rock	60's	Group	English
Beatles, The	Oh! Darling	Pop|Rock	60's	Group	English
Beatles, The	Penny Lane	Pop|Rock	60's	Group	English
Beatles, The	Revolution	Pop|Rock	60's	Group	English
Beatles, The	She Loves You	Pop|Rock	60's	Group	English
Beatles, The	Something	Pop|Rock	60's	Group	English
Beatles, The	Strawberry Fields Forever	Pop|Rock	60's	Group	English
Beatles, The	Ticket to Ride	Pop|Rock	60's	Group	English
Beatles, The	Till There Was You	Pop|Rock	60's	Group	English
Beatles, The	Twist and Shout	Pop|Rock	60's	Group	English
Beatles, The	We Can Work It Out	Pop|Rock	60's	Group	English
Beatles, The	When I'm Sixty-Four	Pop|Rock	60's	Group	English
Beatles, The	While My Guitar Gently Weeps	Pop|Rock	60's	Group	English
Beatles, The	With a Little Help from My Friends	Pop|Rock	60's	Group	English
Beatles, The	Yellow Submarine	Pop|Rock	60's	Group	English
Beatles, The	Yesterday	Pop|Rock	60's	Group	English
Beatles, The	You've Got to Hide Your Love Away	Pop|Rock	60's	Group	English
Becky G	Can't stop dancing	Pop	2010's	Female	English
Becky G	Lovin' so hard	Pop	2010's	Female	English
Becky G	Shower	Pop	2010's	Female	English
Bee Gees	Don't forget to remember	Pop|Rock	60's	Group	English
Bee Gees	How deep is your love	Disco|Pop|Rock	70's	Group	English
Bee Gees	I started a joke	Pop|Rock	60's	Group	English
Bee Gees	Massachusetts	Pop|Rock	60's	Group	English
Bee Gees	To love somebody	Pop|Rock	60's	Group	English
Bee Gees	Words	Pop|Rock	60's	Group	English
Bette Midler	Rose, The	Ballad|Pop	70's	Female	English
Bette Midler	Wind Beneath My Wings	Pop	80's	Female	English
Beyoncé	Broken-Hearted Girl	Pop|Soul	2000's	Female	English
Beyoncé	Listen (Lower Key)	Pop|Soul	2000's	Female	English
Big Boy	Mis Ojos Lloran por Ti	Reggaeton	90's	Male	Spanish
Bill Withers	Use Me	Soul	70's	Male	English
Billy Joel	Honesty	Pop|Rock	70's	Male	English
Billy Joel	Just the way you are	Pop|Rock	70's	Male	English
Billy Joel	Piano Man	Pop|Rock	70's	Male	English
Billy Joel	She's Always a Woman	Pop|Rock	70's	Male	English
Billy Joel	She's Got A Way	Pop|Rock	70's	Male	English
Billy Joel	Uptown Girl	Pop|Rock	80's	Male	English
Billy Joel	Vienna	Pop|Rock	70's	Male	English
Billy Joel	You may be right	Pop|Rock	80's	Male	English
Black Crowes	Hard to Handle	Rock	90's	Group	English
Black Sabbath	Iron Man	Metal|Rock	70's	Group	English
Black Sabbath	Paranoid	Metal|Rock	70's	Group	English
Black Sabbath	War Pigs	Metal|Rock	70's	Group	English
Bob Dylan	Knockin' on Heaven's Door	Blues|Folk|Rock	70's	Male	English
Bruce Springsteen	Born in the USA	Folk|Pop|Rock	80's	Male	English
Bruce Springsteen	Born to run	Folk|Pop|Rock	70's	Male	English
